split,threshold,rows,positive_labels,negative_labels,gray_labels,tp,fp,tn,fn,precision,recall,f1,accuracy,pr_auc,hard_negative_count,hard_negative_rejected,hard_negative_recall_reject,hard_negative_false_negative_fired
train,0.5,13994,2102,1028,10864,2101,1,1027,1,0.9995242626070409,0.9995242626070409,0.9995242626070409,0.9993610223642172,0.9999995474554864,4,4,1.0,0
train,0.7,13994,2102,1028,10864,2099,0,1028,3,1.0,0.9985727878211227,0.9992858843132587,0.9990415335463259,0.9999995474554864,4,4,1.0,0
train,0.8,13994,2102,1028,10864,2099,0,1028,3,1.0,0.9985727878211227,0.9992858843132587,0.9990415335463259,0.9999995474554864,4,4,1.0,0
train,0.85,13994,2102,1028,10864,2099,0,1028,3,1.0,0.9985727878211227,0.9992858843132587,0.9990415335463259,0.9999995474554864,4,4,1.0,0
train,0.9,13994,2102,1028,10864,2099,0,1028,3,1.0,0.9985727878211227,0.9992858843132587,0.9990415335463259,0.9999995474554864,4,4,1.0,0
train,0.95,13994,2102,1028,10864,2099,0,1028,3,1.0,0.9985727878211227,0.9992858843132587,0.9990415335463259,0.9999995474554864,4,4,1.0,0
val,0.5,3003,406,401,2196,361,122,279,45,0.7474120082815735,0.8891625615763546,0.8121484814398201,0.7930607187112764,0.9429660049863726,4,1,0.25,3
val,0.7,3003,406,401,2196,352,97,304,54,0.7839643652561247,0.8669950738916257,0.823391812865497,0.8128872366790583,0.9429660049863726,4,1,0.25,3
val,0.8,3003,406,401,2196,346,78,323,60,0.8160377358490566,0.8522167487684729,0.8337349397590362,0.828996282527881,0.9429660049863726,4,1,0.25,3
val,0.85,3003,406,401,2196,344,68,333,62,0.8349514563106796,0.8472906403940886,0.8410757946210269,0.838909541511772,0.9429660049863726,4,1,0.25,3
val,0.9,3003,406,401,2196,341,56,345,65,0.8589420654911839,0.8399014778325123,0.8493150684931506,0.8500619578686494,0.9429660049863726,4,1,0.25,3
val,0.95,3003,406,401,2196,338,43,358,68,0.8871391076115486,0.8325123152709359,0.8589580686149938,0.862453531598513,0.9429660049863726,4,1,0.25,3
test,0.5,3003,409,436,2158,362,147,289,47,0.7111984282907662,0.8850855745721271,0.7886710239651415,0.770414201183432,0.9262007810115451,7,1,0.14285714285714285,6
test,0.7,3003,409,436,2158,359,125,311,50,0.7417355371900827,0.8777506112469438,0.8040313549832028,0.7928994082840237,0.9262007810115451,7,1,0.14285714285714285,6
test,0.8,3003,409,436,2158,350,117,319,59,0.7494646680942184,0.8557457212713936,0.7990867579908676,0.7917159763313609,0.9262007810115451,7,1,0.14285714285714285,6
test,0.85,3003,409,436,2158,348,95,341,61,0.7855530474040632,0.8508557457212714,0.8169014084507042,0.8153846153846154,0.9262007810115451,7,1,0.14285714285714285,6
test,0.9,3003,409,436,2158,346,84,352,63,0.8046511627906977,0.8459657701711492,0.8247914183551849,0.8260355029585799,0.9262007810115451,7,1,0.14285714285714285,6
test,0.95,3003,409,436,2158,345,60,376,64,0.8518518518518519,0.843520782396088,0.8476658476658477,0.8532544378698225,0.9262007810115451,7,2,0.2857142857142857,5
holdout,0.5,6006,815,837,4354,723,269,568,92,0.7288306451612904,0.8871165644171779,0.8002213613724406,0.7814769975786925,0.9343420644709036,11,2,0.18181818181818182,9
holdout,0.7,6006,815,837,4354,711,222,615,104,0.7620578778135049,0.8723926380368098,0.8135011441647598,0.8026634382566586,0.9343420644709036,11,2,0.18181818181818182,9
holdout,0.8,6006,815,837,4354,696,195,642,119,0.7811447811447811,0.8539877300613496,0.8159437280187573,0.8099273607748184,0.9343420644709036,11,2,0.18181818181818182,9
holdout,0.85,6006,815,837,4354,692,163,674,123,0.8093567251461988,0.849079754601227,0.8287425149700599,0.8268765133171913,0.9343420644709036,11,2,0.18181818181818182,9
holdout,0.9,6006,815,837,4354,687,140,697,128,0.8307134220072552,0.8429447852760736,0.8367844092570037,0.837772397094431,0.9343420644709036,11,2,0.18181818181818182,9
holdout,0.95,6006,815,837,4354,683,103,734,132,0.8689567430025446,0.838036809815951,0.8532167395377889,0.8577481840193705,0.9343420644709036,11,3,0.2727272727272727,8
all,0.5,20000,2917,1865,15218,2824,270,1595,93,0.9127343244990304,0.9681179293794995,0.9396107136915655,0.9240903387703889,0.9902114421723278,15,6,0.4,9
all,0.7,20000,2917,1865,15218,2810,222,1643,107,0.9267810026385225,0.9633184778882413,0.9446965876617919,0.9312003345880385,0.9902114421723278,15,6,0.4,9
all,0.8,20000,2917,1865,15218,2795,195,1670,122,0.9347826086956522,0.9581762084333219,0.9463348569493821,0.9337097448766206,0.9902114421723278,15,6,0.4,9
all,0.85,20000,2917,1865,15218,2791,163,1702,126,0.9448205822613406,0.9568049365786767,0.9507749957417816,0.939565035549979,0.9902114421723278,15,6,0.4,9
all,0.9,20000,2917,1865,15218,2786,140,1725,131,0.9521531100478469,0.9550908467603703,0.9536197158993668,0.9433291509828524,0.9902114421723278,15,6,0.4,9
all,0.95,20000,2917,1865,15218,2782,103,1762,135,0.9642980935875216,0.953719574905725,0.9589796621854533,0.9502300292764534,0.9902114421723278,15,7,0.4666666666666667,8
