candidate_id,threshold_family,group_type,group,rows,fires,fire_rate,avg_gain,false_positive_rate,p95_loss,max_loss
confidence_lcb164_m2p5_r0_g0p7,lcb90_medium,actual_flag,not_actual_high_regret,14952,0,0.0,0.0,0.0,0.0,0.0
confidence_lcb164_m2p5_r0_g0p7,lcb90_medium,actual_flag,actual_low_margin,8741,344,0.03935476490104107,4.416178365086401,0.0,0.0,0.0
confidence_lcb164_m2p5_r0_g0p7,lcb90_medium,actual_flag,not_actual_low_margin,11259,588,0.052224886757260856,6.130507823358587,0.0,0.0,0.0
confidence_lcb164_m2p5_r0_g0p7,lcb90_medium,actual_flag,actual_teacher_disagreement,12191,932,0.07644984004593552,5.497751027601471,0.0,0.0,0.0
confidence_lcb164_m2p5_r0_g0p7,lcb90_medium,actual_flag,not_actual_teacher_disagreement,7809,0,0.0,0.0,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,c1e_split,unbiased,4000,217,0.05425,6.112099791452082,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,c1e_split,enriched,16000,548,0.03425,5.8364299896859775,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,run_bucket,natural,4000,217,0.05425,6.112099791452082,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,run_bucket,predicted_high_regret_from_pool,4000,223,0.05575,6.48905946321017,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,run_bucket,predicted_low_margin_from_pool,4000,141,0.03525,5.828240019209842,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,run_bucket,predicted_teacher_disagreement_from_pool,4000,124,0.031,5.858347708179105,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,run_bucket,random_off_policy,4000,60,0.015,3.384773592154185,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,actual_flag,actual_high_regret,5048,765,0.15154516640253565,5.914626521690219,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,actual_flag,not_actual_high_regret,14952,0,0.0,0.0,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,actual_flag,actual_low_margin,8741,239,0.027342409335316325,4.809535357742629,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,actual_flag,not_actual_low_margin,11259,526,0.046718181010746956,6.416749693141691,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,actual_flag,actual_teacher_disagreement,12191,765,0.06275120990894922,5.914626521690219,0.0,0.0,0.0
source_filtered_lcb196,source_filtered_lcb95,actual_flag,not_actual_teacher_disagreement,7809,0,0.0,0.0,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,c1e_split,unbiased,4000,286,0.0715,5.299329951092913,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,c1e_split,enriched,16000,798,0.049875,5.123175425338267,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,run_bucket,natural,4000,286,0.0715,5.299329951092913,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,run_bucket,predicted_high_regret_from_pool,4000,252,0.063,6.151193028404599,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,run_bucket,predicted_low_margin_from_pool,4000,159,0.03975,5.5932994683583575,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,run_bucket,predicted_teacher_disagreement_from_pool,4000,139,0.03475,5.6396340311860005,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,run_bucket,random_off_policy,4000,248,0.062,3.4877000018473594,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,actual_flag,actual_high_regret,5048,1084,0.21473851030110935,5.169651619402685,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,actual_flag,not_actual_high_regret,14952,0,0.0,0.0,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,actual_flag,actual_low_margin,8741,382,0.043702093581970025,4.2531303947508645,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,actual_flag,not_actual_low_margin,11259,702,0.06235011990407674,5.668385391221767,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,actual_flag,actual_teacher_disagreement,12191,1084,0.0889180543023542,5.169651619402685,0.0,0.0,0.0
confidence_lcb196_m2p25_r0_g0p7,lcb95_conservative_relaxed_margin,actual_flag,not_actual_teacher_disagreement,7809,0,0.0,0.0,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,c1e_split,unbiased,4000,303,0.07575,5.111554052963509,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,c1e_split,enriched,16000,815,0.0509375,5.0557679547853995,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,run_bucket,natural,4000,303,0.07575,5.111554052963509,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,run_bucket,predicted_high_regret_from_pool,4000,257,0.06425,6.070747876445607,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,run_bucket,predicted_low_margin_from_pool,4000,167,0.04175,5.411142199339267,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,run_bucket,predicted_teacher_disagreement_from_pool,4000,143,0.03575,5.536072245844594,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,run_bucket,random_off_policy,4000,248,0.062,3.4877000018473594,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,actual_flag,actual_high_regret,5048,1118,0.22147385103011094,5.070887085150307,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,actual_flag,not_actual_high_regret,14952,0,0.0,0.0,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,actual_flag,actual_low_margin,8741,393,0.04496053083171262,4.1882698281120705,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,actual_flag,not_actual_low_margin,11259,725,0.06439293010036415,5.549326508620689,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,actual_flag,actual_teacher_disagreement,12191,1118,0.09170699696497416,5.070887085150307,0.0,0.0,0.0
confidence_lcb164_m2p25_r0_g0p7,lcb90_medium_relaxed_margin,actual_flag,not_actual_teacher_disagreement,7809,0,0.0,0.0,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,c1e_split,unbiased,4000,320,0.08,5.040314880385995,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,c1e_split,enriched,16000,940,0.05875,4.7667279079873515,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,run_bucket,natural,4000,320,0.08,5.040314880385995,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,run_bucket,predicted_high_regret_from_pool,4000,274,0.0685,5.926895909935888,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,run_bucket,predicted_low_margin_from_pool,4000,180,0.045,5.322292306688097,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,run_bucket,predicted_teacher_disagreement_from_pool,4000,158,0.0395,5.358508853972713,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,run_bucket,random_off_policy,4000,328,0.082,3.207615061140642,0.0,0.0,0.0
confidence_lcb196_m2p0_r0_g0p75,lcb95_conservative_relaxed_margin_tighter_gate,actual_flag,actual_high_regret,5048,1260,0.24960380348652933,4.836210313675895,0.0,0.0,0.0
