candidate_id,control_candidate_id,candidate_fires,control_fires,candidate_fp_rate,control_fp_rate,fp_rate_reduction,candidate_avg_gain,control_avg_gain,avg_gain_delta,candidate_p95_loss,control_p95_loss,candidate_unbiased_fires,candidate_enriched_fires
confidence_lcb196_m2p5_r0_g0p7,best_diagnostic_m2p5_r0_g0p7,913,978,0.0,0.018404907975460124,0.018404907975460124,5.57286630428895,5.234942194874301,0.337924109414649,0.0,0.0,217,696
confidence_lcb164_m2p5_r0_g0p7,best_diagnostic_m2p5_r0_g0p7,932,978,0.0,0.018404907975460124,0.018404907975460124,5.497751027601471,5.234942194874301,0.2628088327271705,0.0,0.0,227,705
source_filtered_lcb196,best_diagnostic_m2p5_r0_g0p7,765,978,0.0,0.018404907975460124,0.018404907975460124,5.914626521690219,5.234942194874301,0.6796843268159183,0.0,0.0,217,548
confidence_lcb196_m2p25_r0_g0p7,best_diagnostic_m2p5_r0_g0p7,1084,978,0.0,0.018404907975460124,0.018404907975460124,5.169651619402685,5.234942194874301,-0.06529057547161621,0.0,0.0,286,798
confidence_lcb164_m2p25_r0_g0p7,best_diagnostic_m2p5_r0_g0p7,1118,978,0.0,0.018404907975460124,0.018404907975460124,5.070887085150307,5.234942194874301,-0.16405510972399373,0.0,0.0,303,815
confidence_lcb196_m2p0_r0_g0p75,best_diagnostic_m2p5_r0_g0p7,1260,978,0.0,0.018404907975460124,0.018404907975460124,4.836210313675895,5.234942194874301,-0.3987318811984055,0.0,0.0,320,940
confidence_lcb164_m2p0_r0_g0p75,best_diagnostic_m2p5_r0_g0p7,1300,978,0.0,0.018404907975460124,0.018404907975460124,4.745177525006808,5.234942194874301,-0.4897646698674931,0.0,0.0,341,959
