candidate_id,threshold_family,variable,decile,rows,fires,fire_rate,value_min,value_max,teacher_gain_mean_all_rows,teacher_gain_mean_fired,false_positive_rate_fired,teacher_positive_rate_all_rows
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,lcb_1p64,9,2000,885,0.4425,0.75903780143396,18.303653153079445,4.061409065723419,5.676782106949111,0.0,1.0
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,gate_probability,0,2000,0,0.0,6.363793455283265e-07,0.00022636335389156575,-0.0012724961191415787,0.0,0.0,0.007
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,gate_probability,1,2000,0,0.0,0.00022636335389156575,0.0005026899704494797,0.01895215556770563,0.0,0.0,0.0115
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,gate_probability,2,2000,0,0.0,0.0005042958030686064,0.0008896484096945608,-0.02416893360763788,0.0,0.0,0.013
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,gate_probability,3,2000,0,0.0,0.0008899828822689909,0.0016460825314754987,0.03411431985907257,0.0,0.0,0.023
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,gate_probability,4,2000,0,0.0,0.0016464563612006047,0.0030022598783446923,0.053930452939122915,0.0,0.0,0.034
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,gate_probability,5,2000,0,0.0,0.003002665256290541,0.006740311112223897,0.08649764183163643,0.0,0.0,0.0245
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,gate_probability,6,2000,0,0.0,0.006740311112223897,0.03534442759983083,0.2922544570975006,0.0,0.0,0.0665
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,gate_probability,7,2000,0,0.0,0.03538494014509979,0.5055808142153843,0.4066741987457499,0.0,0.0,0.0955
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,gate_probability,8,2000,256,0.128,0.5055808142153843,0.9931668221901192,1.5599181612115354,4.281910938210785,0.05078125,0.4715
best_diagnostic_m2p5_r0_g0p7,diagnostic_reference,gate_probability,9,2000,722,0.361,0.9931694396553287,0.9999959787240341,2.994033191561699,5.572859094743913,0.006925207756232687,0.946
confidence_lcb196_m2p5_r0_g0p7,lcb95_conservative,predicted_delta,0,2000,0,0.0,-11.554939270019531,-1.0005865097045898,-0.18228926190081984,0.0,0.0,0.0385
confidence_lcb196_m2p5_r0_g0p7,lcb95_conservative,predicted_delta,1,2000,0,0.0,-1.0005865097045898,-0.6073074340820312,-0.051753217186778784,0.0,0.0,0.008
confidence_lcb196_m2p5_r0_g0p7,lcb95_conservative,predicted_delta,2,2000,0,0.0,-0.606870174407959,-0.35553884506225586,-0.0384356432966888,0.0,0.0,0.0085
confidence_lcb196_m2p5_r0_g0p7,lcb95_conservative,predicted_delta,3,2000,0,0.0,-0.3554496765136719,-0.14188098907470703,0.05132086652889848,0.0,0.0,0.02
confidence_lcb196_m2p5_r0_g0p7,lcb95_conservative,predicted_delta,4,2000,0,0.0,-0.14144659042358398,0.07075309753417969,0.07268062235042452,0.0,0.0,0.039
confidence_lcb196_m2p5_r0_g0p7,lcb95_conservative,predicted_delta,5,2000,0,0.0,0.07075309753417969,0.2788214683532715,0.16601794823259114,0.0,0.0,0.0575
