epoch,train_loss,val_avg_regret,val_ev_mae,val_top3_recall
1,0.532601073384285,1.5604808576945606,3.426014313250629,0.5947385947385947
2,0.4338522911071777,1.1295555561397221,2.769414510766277,0.6453546453546454
3,0.37385813891887665,1.0138793910846664,2.3934385325756136,0.6983016983016983
4,0.33221820294857024,0.882292155512544,2.1214168171667014,0.7219447219447219
5,0.29744371175765993,0.7476516888547695,2.086236800064062,0.7489177489177489
6,0.26869883239269254,0.6705412295104004,1.8737307763778706,0.7612387612387612
7,0.24375176727771758,0.6495236296350071,1.8195451721566878,0.7778887778887779
8,0.2262915626168251,0.5983414105895228,1.715174573352119,0.7935397935397935
9,0.21438114196062089,0.5855337612652597,1.644939709996414,0.7948717948717948
10,0.20563783049583434,0.5513700672750269,1.5693433291117036,0.8041958041958042
11,0.19892180413007737,0.5162883121526871,1.5355234518698158,0.8131868131868132
12,0.19388725161552428,0.5017424751385346,1.4785731382755884,0.8221778221778222
13,0.18971653878688813,0.4775407194137673,1.4651085295528499,0.8195138195138195
14,0.1862117126584053,0.4616316935066348,1.4108637884716133,0.8215118215118216
15,0.18338966518640518,0.4576843793506964,1.3950738863965035,0.8291708291708292
16,0.18104409873485566,0.43788009624630664,1.3675328600583139,0.8255078255078255
17,0.17949982732534409,0.42901236232945583,1.3412758764972332,0.8315018315018315
18,0.17795445024967194,0.42301697834275315,1.3397341634931927,0.8364968364968365
19,0.1759091168642044,0.4087053322664884,1.3233273476751817,0.8368298368298368
20,0.17477305084466935,0.40260426331683774,1.3008773585140296,0.8404928404928405
21,0.1734688550233841,0.39056283340246184,1.2913068916099526,0.8414918414918415
22,0.1724246099591255,0.39941797289620373,1.2736246711240533,0.8404928404928405
23,0.17148682177066804,0.3770647367863437,1.2618554774569326,0.8381618381618382
24,0.17067608386278152,0.384007130705834,1.2894237394306558,0.8488178488178488
25,0.17001525610685347,0.372417129049643,1.2704042439980083,0.8474858474858474
26,0.16927554458379745,0.36895607088336924,1.242848826778827,0.8444888444888445
27,0.16864991337060928,0.36506840378622724,1.2258228036667955,0.8464868464868465
28,0.1681925430893898,0.3616402553462433,1.2207589568617163,0.8481518481518482
29,0.16795394867658614,0.3548377467381163,1.214619625598934,0.8538128538128538
30,0.16738164126873017,0.36088276228180066,1.2149804373982134,0.8528138528138528
