split,states,actions,ev_mae,ev_rmse,delta_vs_baseline_mae,delta_vs_reference_mae,avg_regret,p90_regret,p95_regret,p99_regret,top1_accuracy,top3_recall,pairwise_ranking_accuracy,calibration_corr_predicted_delta_teacher_delta,gate_accuracy_pos_neg,gate_eval_states,group
val:position:first,1492,34188,1.1709367691478643,1.7413208759781258,1.4893431508149466,1.4930977502941185,0.36070757016441884,1.049627417325974,1.955121386051178,4.729522309303269,0.5770777479892761,0.8599195710455764,0.848620919046157,0.7233429901041281,0.798941798941799,378,val:position:first
val:position:second,1511,34707,1.2576492592851982,1.8616696598100209,1.51557737465173,1.5197012569173236,0.3490417331364992,1.0520804524421692,1.755232334136963,4.41782234366984,0.587028457974851,0.8477829252150894,0.8371909567559284,0.6906958408450856,0.7878787878787878,429,val:position:second
test:position:first,1492,34005,1.183260082728408,1.7962180019339673,1.4809688375945633,1.4800042175970491,0.3773466348816608,1.2363418966531763,1.9838986635208131,3.849983269572253,0.5690348525469169,0.8344504021447721,0.8427964943231351,0.6497816219453711,0.7592137592137592,407,test:position:first
test:position:second,1511,34572,1.3025104270763734,1.9436422012838992,1.5326851754106432,1.5314643917417035,0.3722540386526014,1.1506237983703613,2.0236103534698486,4.521753108501469,0.5539377895433488,0.8451356717405691,0.8345122370202704,0.6175669355867598,0.7808219178082192,438,test:position:second
