split,states,actions,ev_mae,ev_rmse,delta_vs_baseline_mae,delta_vs_reference_mae,avg_regret,p90_regret,p95_regret,p99_regret,top1_accuracy,top3_recall,pairwise_ranking_accuracy,calibration_corr_predicted_delta_teacher_delta,gate_accuracy_pos_neg,gate_eval_states,group
val:label:positive,395,8691,1.1052685847885058,1.7741155772660766,1.5043907479544647,1.507623823916409,0.4760901686918179,1.7153162956237795,3.258636152744291,5.543192317485811,0.6987341772151898,0.8784810126582279,0.8390602177493707,0.8689284496976061,0.8988095238095238,336,val:label:positive
val:label:gray,1347,30990,1.2525510459801132,1.845586200652525,1.4760441316145785,1.47737089814489,0.41132118827540637,1.1732074737548832,1.7300017595291142,3.5972123050689655,0.4216778025241277,0.7676317743132888,0.833831821938371,0.25171769241294273,0.7136150234741784,213,val:label:gray
val:label:negative,1261,29214,1.2069135661093293,1.7653106479390601,1.5301410266615645,1.5370649217401664,0.2565206155545779,0.6748447418212891,1.5213260650634766,4.100449275970468,0.7168913560666138,0.9381443298969072,0.8534764473809298,-0.4831350757829989,0.7209302325581395,258,val:label:negative
test:label:positive,395,8544,1.13602908295431,1.8309714218109794,1.5345071281567182,1.5369278471803551,0.5189680475034292,2.344098711013798,3.206901383399963,6.370564557909966,0.6278481012658228,0.8683544303797468,0.829649115363401,0.8131160455260901,0.9066265060240963,332,test:label:positive
test:label:gray,1347,31017,1.3150290151139865,1.949594224074292,1.467271245411448,1.4651893715356576,0.41507930025437073,1.2719230651855473,1.8732673645019542,3.8129752254486053,0.43132887899034894,0.7616926503340757,0.8301690105227666,0.13676725303008508,0.6962025316455697,237,test:label:gray
test:label:negative,1261,29016,1.198396131496821,1.7977930889792042,1.5414652634685002,1.5403928903863862,0.28657639606742813,0.8823165893554688,1.7822494506835938,3.3874508976936433,0.6796193497224425,0.9143536875495638,0.8501579226793765,-0.409420585900268,0.6702898550724637,276,test:label:negative
