run_group,config_id,decisions,fires,fire_rate,first_fires,second_fires,predicted_delta_mean,predicted_delta_p50,predicted_delta_p90,predicted_delta_min,predicted_delta_max,safe_probability_mean,safe_probability_p50,safe_probability_p90,safe_probability_min,safe_probability_max,model_score_mean,model_score_p50,model_score_p90,candidate_ev_rank_mean,candidate_ev_rank_p50,candidate_ev_rank_p90,candidate_ev_rank_max,no_override_reason_counts
old_stage8_control,m2.5_r0_g0.9,1800,6,0.0033333333333333335,4,2,5.376118421554565,4.100114345550537,8.901808738708496,3.060488700866699,9.172754287719727,0.9643456190482101,0.973537856809181,0.9873785141670883,0.9282296945300454,0.9932888823715896,10.205349604288736,7.933650493621826,19.246768951416016,1.6666666666666667,1.0,3.0,5.0,"{""below_gate_threshold"": 45, ""below_stage8_margin"": 925, ""same_as_baseline"": 824}"
stage8b_position_probe,m2.5_r0_g0.95_seatfirst_k1,1800,17,0.009444444444444445,17,0,4.19187873952529,3.554478168487549,6.5388348579406745,2.600311279296875,8.399883270263672,0.9921840423142578,0.9979483338072482,0.9998674238218588,0.9537263885415272,0.9999764140651011,7.778665374307072,6.431089401245117,15.664708137512207,1.0,1.0,1.0,1.0,"{""below_candidate_ev_rank"": 246, ""below_gate_threshold"": 9, ""below_stage8_margin"": 208, ""same_as_baseline"": 420, ""seat_not_allowed"": 900}"
stage8b_position_probe,m2.75_r0_g0.95_seatfirst_k1,1800,14,0.0077777777777777776,14,0,4.515299354280744,3.648653984069824,7.326882028579715,3.367614269256592,8.399883270263672,0.9916053958901815,0.9984038080205238,0.9998148921704939,0.9537263885415272,0.9999764140651011,8.464319024767194,7.107184410095215,15.685072898864746,1.0,1.0,1.0,1.0,"{""below_candidate_ev_rank"": 246, ""below_gate_threshold"": 7, ""below_stage8_margin"": 213, ""same_as_baseline"": 420, ""seat_not_allowed"": 900}"
stage8b_position_probe,m2.75_r0_g0.95_seatfirst_k3,1800,17,0.009444444444444445,17,0,4.302846347584444,3.593442440032959,6.5388348579406745,2.823330879211426,8.399883270263672,0.9915610935324491,0.9979483338072482,0.9997877017592003,0.9537263885415272,0.9999764140651011,8.24680872524486,6.667314529418945,15.800080299377441,1.2941176470588236,1.0,2.4000000000000004,3.0,"{""below_candidate_ev_rank"": 91, ""below_gate_threshold"": 9, ""below_stage8_margin"": 363, ""same_as_baseline"": 420, ""seat_not_allowed"": 900}"
stage8b_unrestricted,m2.5_r0_g0.95_k1,1800,44,0.024444444444444446,17,27,3.832491571252996,3.5008442401885986,5.127759456634522,2.5530643463134766,8.399883270263672,0.9933592858987402,0.9977067474385475,0.9998417640494615,0.9537263885415272,0.9999764140651011,7.702993132851341,6.7998199462890625,14.977501678466801,1.0,1.0,1.0,1.0,"{""below_candidate_ev_rank"": 482, ""below_gate_threshold"": 10, ""below_stage8_margin"": 443, ""same_as_baseline"": 821}"
stage8b_unrestricted,m2.75_r0_g0.95_k1,1800,36,0.02,14,22,4.098112715615167,3.573960304260254,5.332239627838135,2.807419776916504,8.399883270263672,0.9933727151673621,0.9980669702526839,0.9998415516945773,0.9537263885415272,0.9999764140651011,8.402214686075846,8.366188049316406,14.886078834533691,1.0,1.0,1.0,1.0,"{""below_candidate_ev_rank"": 482, ""below_gate_threshold"": 8, ""below_stage8_margin"": 453, ""same_as_baseline"": 821}"
stage8b_unrestricted,m2.75_r0_g0.95_k3,1800,46,0.025555555555555557,17,29,3.985096143639606,3.573960304260254,5.0953497886657715,2.807419776916504,8.399883270263672,0.9935057774668389,0.9980082121502364,0.9999482060530034,0.9537263885415272,0.9999997778371129,8.219301856082419,8.688996315002441,14.886078834533691,1.326086956521739,1.0,2.5,3.0,"{""below_candidate_ev_rank"": 175, ""below_gate_threshold"": 11, ""below_stage8_margin"": 747, ""same_as_baseline"": 821}"
stage8b_unrestricted,m2.75_r0_g0.9_k1,1800,37,0.020555555555555556,15,22,4.066991135880754,3.554478168487549,5.301066493988037,2.807419776916504,8.399883270263672,0.991081337551047,0.9979483338072482,0.9998414455171354,0.9085917433637,0.9999764140651011,8.288828643592629,7.547054290771484,14.735783576965328,1.0,1.0,1.0,1.0,"{""below_candidate_ev_rank"": 482, ""below_gate_threshold"": 7, ""below_stage8_margin"": 453, ""same_as_baseline"": 821}"
