config_id,hu_turn2_min_margin,hu_turn2_reference_min_margin,hu_turn2_gate_threshold,hu_turn2_min_model_score,hu_turn2_allowed_seats,hu_turn2_candidate_ev_rank_max,paired_seeds,hands,aggregate_ev_per_hand,std_error_seed_means,ci95_low_seed_means,ci95_high_seed_means,seed_count,decision_count,override_count,runtime_override_rate,paired_seed_wins,paired_seed_losses,paired_seed_ties,teacher_evaluated_states,teacher_score_guard_column_available,teacher_override_count,teacher_override_rate,avg_gain_on_override,median_gain_on_override,false_positive_override_rate,false_positive_count,avg_false_positive_cost,p90_loss,p95_loss,p99_loss,max_loss,count_positive_override,count_negative_override,first_teacher_override_rate,second_teacher_override_rate,first_teacher_avg_gain,second_teacher_avg_gain,run_group
m2.75_r0_g0.95_k3,2.75,0.0,0.95,,,3,900,1800,0.003997868888888884,0.03483744803893529,-0.0642835292674243,0.07227926704520206,3,1800,46,0.025555555555555557,9,10,881,3003,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,stage8b_unrestricted
m2.5_r0_g0.95_k1,2.5,0.0,0.95,,,1,900,1800,0.0016666666666666627,0.07026668889813764,-0.13605604357368312,0.13938937690701642,3,1800,44,0.024444444444444446,10,11,879,3003,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,stage8b_unrestricted
m2.75_r0_g0.95_k1,2.75,0.0,0.95,,,1,900,1800,-0.02010898,0.03637836556151532,-0.09141057650057004,0.05119261650057004,3,1800,36,0.02,7,9,884,3003,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,stage8b_unrestricted
m2.75_r0_g0.9_k1,2.75,0.0,0.9,,,1,900,1800,-0.02010898,0.03637836556151532,-0.09141057650057004,0.05119261650057004,3,1800,37,0.020555555555555556,7,9,884,3003,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,stage8b_unrestricted
m2.75_r0_g0.95_seatfirst_k3,2.75,0.0,0.95,,first,3,900,1800,0.05744018222222222,0.027071452643796904,0.00438013504038029,0.11050022940406415,3,1800,17,0.009444444444444445,7,2,891,3003,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,stage8b_position_probe
m2.75_r0_g0.95_seatfirst_k1,2.75,0.0,0.95,,first,1,900,1800,0.026111111111111113,0.014283289035758269,-0.0018841353989750946,0.054106357621197324,3,1800,14,0.0077777777777777776,5,2,893,3003,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,stage8b_position_probe
m2.5_r0_g0.95_seatfirst_k1,2.5,0.0,0.95,,first,1,900,1800,0.011557686666666666,0.023682325859633837,-0.03485967201821565,0.05797504535154898,3,1800,17,0.009444444444444445,6,4,890,3003,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,stage8b_position_probe
m2.5_r0_g0.9,2.5,0.0,0.9,,,,900,1800,0.01733120222222222,0.010632088402609046,-0.003507691046891512,0.03817009549133595,3,1800,6,0.0033333333333333335,2,2,896,3003,1,121,0.040293040293040296,4.352997491182375,3.697265625,0.049586776859504134,6,1.8494173685709636,0.0,0.0,2.08213777542114,5.772463798522949,115,6,0.032171581769437,0.048312375909993384,4.551398063699405,4.2225423202122725,old_stage8_control
