oracle_candidate_id,proxy_id,proxy_family,oracle_fires,proxy_fires,intersection,precision_vs_oracle,recall_vs_oracle,jaccard_overlap,rows
confidence_lcb196_m2p5_r0_g0p7,B_m3_g0.7_pm0.5,predicted_delta_gate_ev_margin,202,136,123,0.9044117647058824,0.6089108910891089,0.5720930232558139,6006
confidence_lcb196_m2p5_r0_g0p7,B_m3_g0.7_pm0.75,predicted_delta_gate_ev_margin,202,118,108,0.9152542372881356,0.5346534653465347,0.5094339622641509,6006
confidence_lcb196_m2p5_r0_g0p7,B_m3_g0.7_pm1,predicted_delta_gate_ev_margin,202,100,92,0.92,0.45544554455445546,0.4380952380952381,6006
confidence_lcb196_m2p5_r0_g0p7,C_m3_g0.7_k1,predicted_delta_gate_rank_guard,202,136,121,0.8897058823529411,0.599009900990099,0.5576036866359447,6006
confidence_lcb196_m2p5_r0_g0p7,C_m3_g0.7_k2,predicted_delta_gate_rank_guard,202,152,134,0.881578947368421,0.6633663366336634,0.6090909090909091,6006
confidence_lcb196_m2p5_r0_g0p7,C_m3_g0.7_k3,predicted_delta_gate_rank_guard,202,162,144,0.8888888888888888,0.7128712871287128,0.6545454545454545,6006
confidence_lcb196_m2p5_r0_g0p7,C_m3_g0.7_k5,predicted_delta_gate_rank_guard,202,162,144,0.8888888888888888,0.7128712871287128,0.6545454545454545,6006
confidence_lcb196_m2p5_r0_g0p7,D_m3_g0.7_l0.5,runtime_lcb_proxy,202,136,122,0.8970588235294118,0.6039603960396039,0.5648148148148148,6006
confidence_lcb196_m2p5_r0_g0p7,D_m3_g0.7_l1,runtime_lcb_proxy,202,130,118,0.9076923076923077,0.5841584158415841,0.5514018691588785,6006
confidence_lcb196_m2p5_r0_g0p7,D_m3_g0.7_l1.64,runtime_lcb_proxy,202,128,117,0.9140625,0.5792079207920792,0.5492957746478874,6006
confidence_lcb196_m2p5_r0_g0p7,D_m3_g0.7_l1.96,runtime_lcb_proxy,202,128,117,0.9140625,0.5792079207920792,0.5492957746478874,6006
confidence_lcb196_m2p5_r0_g0p7,E_m3_g0.7,source_filtered_runtime_proxy,202,127,112,0.8818897637795275,0.5544554455445545,0.5161290322580645,6006
confidence_lcb196_m2p5_r0_g0p7,A_m3_g0.75,predicted_delta_gate,202,165,147,0.8909090909090909,0.7277227722772277,0.6681818181818182,6006
confidence_lcb196_m2p5_r0_g0p7,B_m3_g0.75_pm0.25,predicted_delta_gate_ev_margin,202,151,136,0.9006622516556292,0.6732673267326733,0.6267281105990783,6006
confidence_lcb196_m2p5_r0_g0p7,B_m3_g0.75_pm0.5,predicted_delta_gate_ev_margin,202,135,122,0.9037037037037037,0.6039603960396039,0.5674418604651162,6006
