candidate_id,group_type,group,rows,fires,fire_rate,avg_gain,median_gain,false_positive_count,false_positive_rate,avg_false_positive_cost,p90_loss,p95_loss,p99_loss,max_loss,positive_fire_count,negative_fire_count,missed_positive_count
confidence_lcb164_m2p5_r0_g0p7,predicted_bucket,natural,1202,72,0.059900166389351084,6.405434707800548,4.7417192459106445,0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,80
confidence_lcb164_m2p5_r0_g0p7,predicted_bucket,predicted_high_regret,1202,30,0.024958402662229616,5.750627438227336,4.3701112270355225,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,182
confidence_lcb164_m2p5_r0_g0p7,predicted_bucket,predicted_low_margin,1200,26,0.021666666666666667,5.018978274785555,3.8240084648132324,0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,125
confidence_lcb164_m2p5_r0_g0p7,predicted_bucket,predicted_teacher_disagreement,1200,23,0.019166666666666665,6.537305282509846,5.24606466293335,0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,91
confidence_lcb164_m2p5_r0_g0p7,predicted_bucket,random_off_policy,1202,57,0.04742096505823627,3.621058731748347,3.5625,0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,345
confidence_lcb164_m2p5_r0_g0p7,source_bucket_requested,unknown,6006,208,0.03463203463203463,5.389240031058971,4.0458984375,0,0.0,0.0,0.0,0.0,0.0,0.0,208,0,823
confidence_lcb164_m2p5_r0_g0p7,source_bucket_actual,unknown,6006,208,0.03463203463203463,5.389240031058971,4.0458984375,0,0.0,0.0,0.0,0.0,0.0,0.0,208,0,823
confidence_lcb164_m2p5_r0_g0p7,actual_high_regret,False,4519,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99
confidence_lcb164_m2p5_r0_g0p7,actual_high_regret,True,1487,208,0.1398789509078682,5.389240031058971,4.0458984375,0,0.0,0.0,0.0,0.0,0.0,0.0,208,0,724
confidence_lcb164_m2p5_r0_g0p7,actual_low_margin,False,3386,125,0.03691671588895452,6.116328132629395,4.796388149261475,0,0.0,0.0,0.0,0.0,0.0,0.0,125,0,519
confidence_lcb164_m2p5_r0_g0p7,actual_low_margin,True,2620,83,0.0316793893129771,4.294227829898697,3.5078125,0,0.0,0.0,0.0,0.0,0.0,0.0,83,0,304
confidence_lcb164_m2p5_r0_g0p7,actual_teacher_disagreement,False,2350,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
confidence_lcb164_m2p5_r0_g0p7,actual_teacher_disagreement,True,3656,208,0.05689277899343545,5.389240031058971,4.0458984375,0,0.0,0.0,0.0,0.0,0.0,0.0,208,0,823
source_filtered_lcb196,c1e_split,enriched,4804,94,0.019567027477102414,5.465095976565746,4.17578125,0,0.0,0.0,0.0,0.0,0.0,0.0,94,0,782
source_filtered_lcb196,c1e_split,unbiased,1202,70,0.05823627287853577,6.53074277809688,4.752825736999512,0,0.0,0.0,0.0,0.0,0.0,0.0,70,0,81
source_filtered_lcb196,run_bucket,natural,1202,70,0.05823627287853577,6.53074277809688,4.752825736999512,0,0.0,0.0,0.0,0.0,0.0,0.0,70,0,81
source_filtered_lcb196,run_bucket,predicted_high_regret_from_pool,1202,29,0.024126455906821963,5.884533693050516,4.530192852020264,0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,182
source_filtered_lcb196,run_bucket,predicted_low_margin_from_pool,1200,23,0.019166666666666665,5.460518432700115,4.4980058670043945,0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,126
source_filtered_lcb196,run_bucket,predicted_teacher_disagreement_from_pool,1200,23,0.019166666666666665,6.537305282509846,5.24606466293335,0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,91
source_filtered_lcb196,run_bucket,random_off_policy,1202,19,0.015806988352745424,3.5325052236255847,3.627411127090454,0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,383
source_filtered_lcb196,predicted_bucket,natural,1202,70,0.05823627287853577,6.53074277809688,4.752825736999512,0,0.0,0.0,0.0,0.0,0.0,0.0,70,0,81
source_filtered_lcb196,predicted_bucket,predicted_high_regret,1202,29,0.024126455906821963,5.884533693050516,4.530192852020264,0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,182
source_filtered_lcb196,predicted_bucket,predicted_low_margin,1200,23,0.019166666666666665,5.460518432700115,4.4980058670043945,0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,126
source_filtered_lcb196,predicted_bucket,predicted_teacher_disagreement,1200,23,0.019166666666666665,6.537305282509846,5.24606466293335,0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,91
source_filtered_lcb196,predicted_bucket,random_off_policy,1202,19,0.015806988352745424,3.5325052236255847,3.627411127090454,0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,383
