config_id,hu_turn2_min_margin,hu_turn2_reference_min_margin,hu_turn2_gate_threshold,paired_seeds,hands,aggregate_ev_per_hand,std_error_seed_means,ci95_low_seed_means,ci95_high_seed_means,seed_count,decision_count,override_count,runtime_override_rate,paired_seed_wins,paired_seed_losses,paired_seed_ties
m2.5_r0_g0.9,2.5,0.0,0.9,900,1800,0.01733120222222222,0.010632088402609046,-0.003507691046891512,0.03817009549133595,3,1800,6,0.0033333333333333335,2,2,896
m2.5_r0_g0.85,2.5,0.0,0.85,900,1800,0.01733120222222222,0.010632088402609046,-0.003507691046891512,0.03817009549133595,3,1800,7,0.0038888888888888888,2,2,896
m2.75_r0_g0.9,2.75,0.0,0.9,900,1800,0.01733120222222222,0.010632088402609046,-0.003507691046891512,0.03817009549133595,3,1800,6,0.0033333333333333335,2,2,896
m2.75_r0_g0.85,2.75,0.0,0.85,900,1800,0.01733120222222222,0.010632088402609046,-0.003507691046891512,0.03817009549133595,3,1800,7,0.0038888888888888888,2,2,896
