config_id,hu_turn2_min_margin,hu_turn2_reference_min_margin,hu_turn2_gate_threshold,paired_seeds,hands,aggregate_ev_per_hand,std_error_seed_means,ci95_low_seed_means,ci95_high_seed_means,seed_count,decision_count,override_count,runtime_override_rate,paired_seed_wins,paired_seed_losses,paired_seed_ties,teacher_evaluated_states,teacher_override_count,teacher_override_rate,avg_gain_on_override,median_gain_on_override,false_positive_override_rate,false_positive_count,avg_false_positive_cost,p90_loss,p95_loss,p99_loss,max_loss,count_positive_override,count_negative_override,first_teacher_override_rate,second_teacher_override_rate,first_teacher_avg_gain,second_teacher_avg_gain
m2.5_r0_g0.9,2.5,0.0,0.9,5000,10000,-0.0058196164,0.013101392356635646,-0.03149834541900587,0.019859112619005866,5,10000,45,0.0045,8,11,4981,3003,121,0.040293040293040296,4.352997491182375,3.697265625,0.049586776859504134,6,1.8494173685709636,0.0,0.0,2.08213777542114,5.772463798522949,115,6,0.032171581769437,0.048312375909993384,4.551398063699405,4.2225423202122725
m2.75_r0_g0.9,2.75,0.0,0.9,5000,10000,-0.0058196164,0.013101392356635646,-0.03149834541900587,0.019859112619005866,5,10000,42,0.0042,8,11,4981,3003,101,0.03363303363303363,4.664979078982136,3.83203125,0.04950495049504951,5,2.1501677513122557,0.0,0.0,2.244187355041504,5.772463798522949,96,5,0.027479892761394103,0.03970880211780278,4.754797359792198,4.603603253761928
m2.5_r0_g0.925,2.5,0.0,0.925,5000,10000,-0.0058196164,0.013101392356635646,-0.03149834541900587,0.019859112619005866,5,10000,40,0.004,8,11,4981,3003,120,0.03996003996003996,4.369352780779203,3.7035226821899414,0.05,6,1.8494173685709636,0.0,0.017283272743224116,2.0902402544021625,5.772463798522949,114,6,0.03150134048257373,0.048312375909993384,4.59737753868103,4.2225423202122725
m2.5_r0_g0.7,2.5,0.0,0.7,5000,10000,-0.006919616399999999,0.011721323848546754,-0.029893411143151635,0.016054178343151638,5,10000,81,0.0081,15,17,4968,3003,126,0.04195804195804196,4.174346281422509,3.58984375,0.05555555555555555,7,2.160928726196289,0.0,0.25924909114837646,3.5835444927215576,5.772463798522949,119,7,0.03351206434316354,0.05029781601588352,4.397725253105164,4.027386431631289
