config_id,metric,fired_count,decision_count,override_rate,mean,median,p10,p90,p95,min,max,no_override_reason_counts
m2.5_r0_g0.7,predicted_delta,81,10000,0.0081,4.1834288055514115,3.59617280960083,2.84867525100708,6.044044017791748,7.131507396697998,2.507777690887451,10.31473159790039,"{""below_gate_threshold"": 191, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.7,gate_probability,81,10000,0.0081,0.9006401400692071,0.9208740785150902,0.7658045806974675,0.9954203788947832,0.9981134429058802,0.7091635123080318,0.9997568306010184,"{""below_gate_threshold"": 191, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.7,reference_margin_raw,81,10000,0.0081,0.3313662502807974,0.09687626662679527,0.015895505723625192,0.8444573701468778,1.099023642289005,0.00010302803020234563,3.646829993433787,"{""below_gate_threshold"": 191, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.7,model_score,81,10000,0.0081,8.041889252486053,7.684383392333984,2.696157455444336,14.089165687561035,16.155654907226562,-1.8084447383880615,26.739856719970703,"{""below_gate_threshold"": 191, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.7,runtime_latency_ms,81,10000,0.0081,18.71062881481841,15.89300800003457,14.854461000027186,18.157931000018834,19.708581000003278,12.11525300001881,222.03969200000984,"{""below_gate_threshold"": 191, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.9,predicted_delta,45,10000,0.0045,4.23968587451511,3.619650363922119,2.9076414108276367,6.096183872222901,6.4539677619934075,2.62760591506958,9.382425308227539,"{""below_gate_threshold"": 227, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.9,gate_probability,45,10000,0.0045,0.9713789627235152,0.97845734996459,0.923323261354041,0.9980226143227765,0.9986855127980998,0.9005413847960699,0.9997568306010184,"{""below_gate_threshold"": 227, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.9,reference_margin_raw,45,10000,0.0045,0.3046430573522222,0.0900875878728371,0.01644303669356795,0.8159008758999349,1.0841846052186028,0.00010302803020234563,2.894974124163192,"{""below_gate_threshold"": 227, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.9,model_score,45,10000,0.0045,7.866356229782104,6.9016571044921875,2.776635265350342,14.342934226989748,14.792880439758301,-1.6246201992034912,18.427112579345703,"{""below_gate_threshold"": 227, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.9,runtime_latency_ms,45,10000,0.0045,20.09769860000069,21.365603999925042,14.959204400042836,25.077525800003286,25.879392399986042,12.451088999995363,26.455841000000646,"{""below_gate_threshold"": 227, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.925,predicted_delta,40,10000,0.004,4.198399126529694,3.554722547531128,2.844544792175293,5.951766109466553,6.541250085830686,2.62760591506958,9.382425308227539,"{""below_gate_threshold"": 232, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.925,gate_probability,40,10000,0.004,0.9784771558131418,0.9814317982477887,0.9564605905993189,0.9981253825675622,0.9988222431771756,0.9269971006910185,0.9997568306010184,"{""below_gate_threshold"": 232, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.925,reference_margin_raw,40,10000,0.004,0.32677904019077586,0.08557676965275007,0.013461155414111303,0.8416449587396443,1.1761943256069631,0.00010302803020234563,2.894974124163192,"{""below_gate_threshold"": 232, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.925,model_score,40,10000,0.004,7.53285591006279,6.828042030334473,2.5290953636169435,14.127707862854004,14.875581693649288,-1.6246201992034912,18.427112579345703,"{""below_gate_threshold"": 232, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.5_r0_g0.925,runtime_latency_ms,40,10000,0.004,18.807824424997932,20.542245999990882,14.939612999967267,22.10840919996997,23.1751137999737,12.382209999998395,23.64345399999479,"{""below_gate_threshold"": 232, ""below_stage8_margin"": 4952, ""same_as_baseline"": 4776}"
m2.75_r0_g0.9,predicted_delta,42,10000,0.0042,4.35214040392921,3.6436920166015625,3.0711345195770265,6.1828345298767085,6.496128034591673,2.7992982864379883,9.382425308227539,"{""below_gate_threshold"": 182, ""below_stage8_margin"": 5000, ""same_as_baseline"": 4776}"
m2.75_r0_g0.9,gate_probability,42,10000,0.0042,0.9712667326487702,0.9793435683186471,0.9214863416855523,0.9980907352101829,0.9987703883585638,0.9005414663762973,0.9997568306010184,"{""below_gate_threshold"": 182, ""below_stage8_margin"": 5000, ""same_as_baseline"": 4776}"
m2.75_r0_g0.9,reference_margin_raw,42,10000,0.0042,0.2941319529548669,0.08557676965275007,0.020909016923438807,0.7697664089704223,1.0146515959260303,0.00010302803020234563,2.894974124163192,"{""below_gate_threshold"": 182, ""below_stage8_margin"": 5000, ""same_as_baseline"": 4776}"
m2.75_r0_g0.9,model_score,42,10000,0.0042,8.12124220530192,7.2078328132629395,3.0807560443878175,14.46981792449951,14.804377174377441,-0.29477643966674805,18.427112579345703,"{""below_gate_threshold"": 182, ""below_stage8_margin"": 5000, ""same_as_baseline"": 4776}"
m2.75_r0_g0.9,runtime_latency_ms,42,10000,0.0042,18.01867490476706,17.39741449999599,14.789308600003892,22.509165999969127,22.924751850007397,14.136887999995906,25.016186000016205,"{""below_gate_threshold"": 182, ""below_stage8_margin"": 5000, ""same_as_baseline"": 4776}"
