config_id,bucket_type,bucket,override_count,avg_gain_on_override,false_positive_count,p95_loss,decision_count
m2.5_r0_g0.9,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.5_r0_g0.9,actual_teacher_disagreement,True,120,4.407974031567574,5,0.0,
m2.5_r0_g0.9,no_override_reason,same_as_baseline,0,,,,914
m2.5_r0_g0.9,no_override_reason,below_stage8_margin,0,,,,1035
m2.5_r0_g0.9,no_override_reason,below_gate_threshold,0,,,,42
m2.5_r0_g0.9,no_override_reason,,9,,,,9
m2.5_r0_g0.9,override_fired,False,0,,,,1991
m2.5_r0_g0.9,override_fired,True,9,,,,9
m2.75_r0_g0.9,bucket_group,natural,34,6.077061218373916,1,0.0,
m2.75_r0_g0.9,bucket_group,predicted_high_regret,16,1.7379738092422485,4,3.1262564659118652,
m2.75_r0_g0.9,bucket_group,predicted_low_margin,12,4.486870398124059,0,0.0,
m2.75_r0_g0.9,bucket_group,predicted_teacher_disagreement,9,8.016374905904135,0,0.0,
m2.75_r0_g0.9,bucket_group,random_off_policy,30,3.691513522466024,0,0.0,
m2.75_r0_g0.9,actual_high_regret,False,7,-0.40109704221997944,3,2.0011129856109613,
m2.75_r0_g0.9,actual_high_regret,True,94,5.04224006673123,2,0.0,
m2.75_r0_g0.9,actual_low_margin,False,53,5.672212807637341,1,0.0,
m2.75_r0_g0.9,actual_low_margin,True,48,3.552825170258681,4,1.264918398857116,
m2.75_r0_g0.9,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.75_r0_g0.9,actual_teacher_disagreement,True,100,4.7340707433223725,4,0.0,
m2.75_r0_g0.9,no_override_reason,below_gate_threshold,0,,,,46
m2.75_r0_g0.9,no_override_reason,same_as_baseline,0,,,,985
m2.75_r0_g0.9,no_override_reason,below_stage8_margin,0,,,,958
m2.75_r0_g0.9,no_override_reason,,11,,,,11
m2.75_r0_g0.9,override_fired,False,0,,,,1989
m2.75_r0_g0.9,override_fired,True,11,,,,11
m2.75_r0_g0.9,bucket_group,natural,34,6.077061218373916,1,0.0,
m2.75_r0_g0.9,bucket_group,predicted_high_regret,16,1.7379738092422485,4,3.1262564659118652,
m2.75_r0_g0.9,bucket_group,predicted_low_margin,12,4.486870398124059,0,0.0,
m2.75_r0_g0.9,bucket_group,predicted_teacher_disagreement,9,8.016374905904135,0,0.0,
m2.75_r0_g0.9,bucket_group,random_off_policy,30,3.691513522466024,0,0.0,
m2.75_r0_g0.9,actual_high_regret,False,7,-0.40109704221997944,3,2.0011129856109613,
m2.75_r0_g0.9,actual_high_regret,True,94,5.04224006673123,2,0.0,
m2.75_r0_g0.9,actual_low_margin,False,53,5.672212807637341,1,0.0,
m2.75_r0_g0.9,actual_low_margin,True,48,3.552825170258681,4,1.264918398857116,
m2.75_r0_g0.9,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.75_r0_g0.9,actual_teacher_disagreement,True,100,4.7340707433223725,4,0.0,
m2.75_r0_g0.9,no_override_reason,same_as_baseline,0,,,,958
m2.75_r0_g0.9,no_override_reason,below_stage8_margin,0,,,,996
m2.75_r0_g0.9,no_override_reason,,10,,,,10
m2.75_r0_g0.9,no_override_reason,below_gate_threshold,0,,,,36
m2.75_r0_g0.9,override_fired,False,0,,,,1990
m2.75_r0_g0.9,override_fired,True,10,,,,10
m2.75_r0_g0.9,bucket_group,natural,34,6.077061218373916,1,0.0,
m2.75_r0_g0.9,bucket_group,predicted_high_regret,16,1.7379738092422485,4,3.1262564659118652,
m2.75_r0_g0.9,bucket_group,predicted_low_margin,12,4.486870398124059,0,0.0,
m2.75_r0_g0.9,bucket_group,predicted_teacher_disagreement,9,8.016374905904135,0,0.0,
m2.75_r0_g0.9,bucket_group,random_off_policy,30,3.691513522466024,0,0.0,
m2.75_r0_g0.9,actual_high_regret,False,7,-0.40109704221997944,3,2.0011129856109613,
m2.75_r0_g0.9,actual_high_regret,True,94,5.04224006673123,2,0.0,
m2.75_r0_g0.9,actual_low_margin,False,53,5.672212807637341,1,0.0,
m2.75_r0_g0.9,actual_low_margin,True,48,3.552825170258681,4,1.264918398857116,
m2.75_r0_g0.9,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.75_r0_g0.9,actual_teacher_disagreement,True,100,4.7340707433223725,4,0.0,
m2.75_r0_g0.9,no_override_reason,below_stage8_margin,0,,,,988
m2.75_r0_g0.9,no_override_reason,same_as_baseline,0,,,,971
