config_id,state_key,seed,hand_id,hand_seed,paired_index,seat,seat_swap,predicted_delta,gate_probability,predicted_ev_margin,candidate_rank,reference_margin_raw,model_score,candidate_seat_score,realized_delta_proxy,baseline_action_index,stage8_action_index,final_action_index,teacher_ev_gain_available,source_bucket_available,actual_bucket_available,failure_label
m2.5_r0_g0.7,"{""cards_to_place"":[""4h"",""Qd"",""Tc""],""dead_cards"":[""2s"",""3d"",""4c"",""7d"",""Ad"",""Jh"",""Qc"",""Td"",""Ts""],""hand_id"":2026061901000044,""hero_board"":{""bottom"":[""8h"",""8s"",""9h""],""middle"":[""3h"",""Kc"",""Kd""],""top"":[""Qh""]},""opponent_board"":{""bottom"":[""3d"",""4c"",""7d""],""middle"":[""2s"",""Ad""],""top"":[""Jh"",""Qc""]},""paired_index"":44,""seat"":""first"",""seat_swap"":""ab""}",2026061901000044,2026061901000044,2026061901000044,44,first,ab,2.9323959350585938,0.8256583149039229,,,0.18194743788843049,9.618085861206055,20.196164,20.196164,12,24,24,0,0,0,low_margin_noise
m2.5_r0_g0.7,"{""cards_to_place"":[""5c"",""7h"",""Th""],""dead_cards"":[""2c"",""2h"",""3c"",""3s"",""4d"",""5s"",""9h"",""As"",""Kh"",""Qc"",""Qh"",""Td""],""hand_id"":2026061902000005,""hero_board"":{""bottom"":[""4h"",""5h"",""6h"",""8h""],""middle"":[""7d"",""Ah""],""top"":[""Qs""]},""opponent_board"":{""bottom"":[""2c"",""2h"",""3c"",""3s"",""9h""],""middle"":[""4d"",""As""],""top"":[""Qc"",""Qh""]},""paired_index"":5,""seat"":""second"",""seat_swap"":""ba""}",2026061902000005,2026061902000005,2026061902000005,5,second,ba,4.848556995391846,0.9193155124976253,,,0.16459192518776522,10.990110397338867,21.0,21.0,18,21,21,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""4c"",""6h"",""Qc""],""dead_cards"":[""2d"",""3h"",""3s"",""5c"",""5s"",""9s"",""Ad"",""Ah"",""Jh"",""Kc"",""Qd"",""Tc""],""hand_id"":2026061905000990,""hero_board"":{""bottom"":[""7d"",""7s""],""middle"":[""2c"",""2h"",""6d""],""top"":[""Kd"",""Ks""]},""opponent_board"":{""bottom"":[""3h"",""3s"",""5s"",""9s""],""middle"":[""5c"",""Ad"",""Ah"",""Jh""],""top"":[""Qd""]},""paired_index"":990,""seat"":""second"",""seat_swap"":""ba""}",2026061905000990,2026061905000990,2026061905000990,990,second,ba,4.63927698135376,0.8224175828016125,,,0.902876842389122,1.8527259826660156,21.196164,21.196164,14,22,22,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""4s"",""Kc"",""Tc""],""dead_cards"":[""3h"",""4h"",""6d"",""6s"",""7c"",""7d"",""7h"",""8h"",""8s"",""9d"",""Jd"",""Jh""],""hand_id"":2026061905000543,""hero_board"":{""bottom"":[""3c"",""5c"",""6c""],""middle"":[""Ah"",""As""],""top"":[""Kd"",""Ks""]},""opponent_board"":{""bottom"":[""7d"",""9d"",""Jd""],""middle"":[""3h"",""7c"",""7h"",""8h"",""8s""],""top"":[""6s""]},""paired_index"":543,""seat"":""second"",""seat_swap"":""ba""}",2026061905000543,2026061905000543,2026061905000543,543,second,ba,7.411038875579834,0.8539758389997731,,,0.04071758269209802,22.21953582763672,23.196164,23.196164,20,7,7,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""6c"",""Ad"",""Ah""],""dead_cards"":[""2d"",""3h"",""5d"",""6d"",""6h"",""8h"",""8s"",""9s"",""Jc"",""Kc"",""Qd"",""Th""],""hand_id"":2026061901000467,""hero_board"":{""bottom"":[""2c"",""2s"",""9d""],""middle"":[""Ac"",""Ks""],""top"":[""Qh"",""Qs""]},""opponent_board"":{""bottom"":[""5d"",""6h"",""8h"",""9s""],""middle"":[""Jc"",""Kc"",""Th""],""top"":[""6d"",""Qd""]},""paired_index"":467,""seat"":""second"",""seat_swap"":""ba""}",2026061901000467,2026061901000467,2026061901000467,467,second,ba,5.49553918838501,0.8967394324211849,,,0.08162808630062202,11.67409610748291,25.196164,25.196164,11,3,3,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""4h"",""5d"",""Qc""],""dead_cards"":[""3h"",""5c"",""5s"",""6c"",""9s"",""Jh"",""Js"",""Kd"",""Kh""],""hand_id"":2026061902000759,""hero_board"":{""bottom"":[""7c"",""7h"",""8c""],""middle"":[""2d"",""Ac"",""Ah""],""top"":[""Qh""]},""opponent_board"":{""bottom"":[""5s"",""9s"",""Js""],""middle"":[""5c"",""6c""],""top"":[""Kd"",""Kh""]},""paired_index"":759,""seat"":""first"",""seat_swap"":""ab""}",2026061902000759,2026061902000759,2026061902000759,759,first,ab,5.5653815269470215,0.9938957521919621,,,0.04423299565875105,4.893982887268066,25.196164,25.196164,20,3,3,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""6s"",""7h"",""Qs""],""dead_cards"":[""2d"",""3d"",""4c"",""4d"",""6c"",""7s"",""9s"",""Ah"",""Jc"",""Jh"",""Js"",""Qh""],""hand_id"":2026061905000991,""hero_board"":{""bottom"":[""5c"",""6h"",""8d""],""middle"":[""Ac"",""As"",""Th""],""top"":[""Qc""]},""opponent_board"":{""bottom"":[""6c"",""Jh"",""Js""],""middle"":[""3d"",""4c"",""9s"",""Ah""],""top"":[""7s"",""Qh""]},""paired_index"":991,""seat"":""second"",""seat_swap"":""ba""}",2026061905000991,2026061905000991,2026061905000991,991,second,ba,3.923546314239502,0.8289868990873911,,,3.646829993433787,6.906924247741699,25.196164,25.196164,11,2,2,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""2c"",""4d"",""5c""],""dead_cards"":[""2d"",""3d"",""4c"",""6s"",""8h"",""9d"",""Js"",""Qc"",""Qs""],""hand_id"":2026061904000761,""hero_board"":{""bottom"":[""3c"",""3s""],""middle"":[""7s"",""Ad"",""As""],""top"":[""Kc"",""Ks""]},""opponent_board"":{""bottom"":[""8h"",""9d"",""Js""],""middle"":[""3d"",""4c""],""top"":[""Qc"",""Qs""]},""paired_index"":761,""seat"":""first"",""seat_swap"":""ab""}",2026061904000761,2026061904000761,2026061904000761,761,first,ab,3.2681918144226074,0.9894263231979282,,,0.032075043243541046,7.684383392333984,26.196164,26.196164,14,20,20,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""4d"",""8c"",""Ac""],""dead_cards"":[""2d"",""3c"",""3d"",""4c"",""7h"",""7s"",""9d"",""Ah"",""Js"",""Kc"",""Qs"",""Tc""],""hand_id"":2026061905000852,""hero_board"":{""bottom"":[""5d"",""5h"",""5s""],""middle"":[""9c"",""9h""],""top"":[""Kh"",""Ks""]},""opponent_board"":{""bottom"":[""2d"",""7h"",""7s""],""middle"":[""9d"",""Ah"",""Js"",""Tc""],""top"":[""Kc"",""Qs""]},""paired_index"":852,""seat"":""second"",""seat_swap"":""ba""}",2026061905000852,2026061905000852,2026061905000852,852,second,ba,5.259814739227295,0.9005414663762973,,,0.06043151282443304,14.089165687561035,26.196164,26.196164,6,12,12,0,0,0,positive_or_neutral_runtime
m2.5_r0_g0.7,"{""cards_to_place"":[""2c"",""5c"",""Ac""],""dead_cards"":[""5h"",""6c"",""6d"",""7c"",""8c"",""8h"",""Ah"",""As"",""Qd""],""hand_id"":2026061903000270,""hero_board"":{""bottom"":[""3h"",""4d""],""middle"":[""Js"",""Kc"",""Kd""],""top"":[""Qc"",""Qh""]},""opponent_board"":{""bottom"":[""6c"",""6d"",""8c"",""8h""],""middle"":[""5h""],""top"":[""As"",""Qd""]},""paired_index"":270,""seat"":""first"",""seat_swap"":""ab""}",2026061903000270,2026061903000270,2026061903000270,270,first,ab,4.300436496734619,0.9959070759401187,,,0.06728328044502163,4.557572364807129,27.196164,27.196164,12,7,7,0,0,0,positive_or_neutral_runtime
