hu_turn2_min_margin,hu_turn2_reference_min_margin,hu_turn2_gate_threshold,audit_states,override_count,override_rate_on_audit_set,high_mc_avg_gain_on_override,false_positive_count,false_positive_rate,p95_loss,p99_loss,max_loss,missed_positive_count
3.5,0.1,0.85,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
3.5,0.1,0.9,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
3.5,0.1,0.925,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
3.5,0.1,0.95,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
3.25,none,0.95,50,24,0.48,7.715568921101888,3,0.125,1.1363014663085937,2.189005029697266,2.4961246210937507,21
3.25,0.0,0.95,50,24,0.48,7.715568921101888,3,0.125,1.1363014663085937,2.189005029697266,2.4961246210937507,21
3.5,none,0.95,50,24,0.48,7.715568921101888,3,0.125,1.1363014663085937,2.189005029697266,2.4961246210937507,21
3.5,0.0,0.95,50,24,0.48,7.715568921101888,3,0.125,1.1363014663085937,2.189005029697266,2.4961246210937507,21
3.1,none,0.95,50,25,0.5,7.457615914296874,3,0.12,1.1281279384765623,2.175652003984373,2.4961246210937507,20
3.1,0.0,0.95,50,25,0.5,7.457615914296874,3,0.12,1.1281279384765623,2.175652003984373,2.4961246210937507,20
3.25,none,0.9,50,25,0.5,7.405231245585937,4,0.16,1.1281279384765623,2.175652003984373,2.4961246210937507,21
3.25,none,0.925,50,25,0.5,7.405231245585937,4,0.16,1.1281279384765623,2.175652003984373,2.4961246210937507,21
3.25,0.0,0.9,50,25,0.5,7.405231245585937,4,0.16,1.1281279384765623,2.175652003984373,2.4961246210937507,21
3.25,0.0,0.925,50,25,0.5,7.405231245585937,4,0.16,1.1281279384765623,2.175652003984373,2.4961246210937507,21
