state_index,audit_groups,rank_high_mc,original_index,action,high_mc_ev,high_mc_se,mc512_ev,mc512_se,predicted_ev,predicted_delta,predicted_delta_reference,predicted_rank_score,is_baseline,is_stage8_candidate,is_model_top1,is_teacher_mc512_best,is_high_mc_best
818,fired_teacher,1,15,"Ad->bottom,As->bottom; discard=9c",14.869046630859375,0.16412005987755407,14.2672342421875,0.46734271518581977,15.58183765411377,14.32396125793457,13.938657760620117,0.7438054084777832,False,True,True,True,True
818,fired_teacher,2,3,"Ad->middle,9c->middle; discard=As",8.911637969726563,0.24815544573506243,8.7327063046875,0.7142864239670624,7.656801223754883,9.163354873657227,8.956411361694336,-2.285092830657959,False,False,False,False,False
818,fired_teacher,3,19,"9c->middle,As->middle; discard=Ad",8.82852969140625,0.246954497740272,8.531151296875,0.7041332225252369,7.264183044433594,8.960897445678711,8.848655700683594,-2.7598376274108887,False,False,False,False,False
818,fired_teacher,4,2,"Ad->middle,9c->top; discard=As",8.70105805859375,0.2531000222026826,8.426523734375,0.7242999613719352,7.778752326965332,9.206235885620117,9.002784729003906,-2.1709086894989014,False,False,False,False,False
818,fired_teacher,5,16,"9c->top,As->middle; discard=Ad",8.680598137695313,0.25287685698942514,8.1492174453125,0.7269404811500914,7.389985084533691,9.307146072387695,9.165678024291992,-2.265857219696045,False,False,False,False,False
818,fired_teacher,6,10,"Ad->middle,As->top; discard=9c",8.593994837890625,0.25111613798314286,8.446054984375,0.7141376311866218,6.636115074157715,8.417579650878906,8.169754028320312,-2.60042405128479,False,False,False,False,False
818,fired_teacher,7,8,"Ad->top,As->middle; discard=9c",8.51729147265625,0.25065457412700587,8.41557125,0.7143335175084305,6.438070297241211,8.590248107910156,8.5469970703125,-2.8693878650665283,False,False,False,False,False
818,fired_teacher,8,0,"Ad->top,9c->middle; discard=As",8.489334497070312,0.25276156306244973,8.2515462109375,0.7191319801543876,7.526712417602539,8.784114837646484,8.54677963256836,-2.556708812713623,False,False,False,False,False
818,fired_teacher,9,18,"9c->middle,As->top; discard=Ad",8.163353123046875,0.25441094355336213,7.73951925,0.7303782980303215,7.527349472045898,9.018850326538086,8.732431411743164,-2.4355227947235107,False,False,False,False,False
818,fired_teacher,10,14,"Ad->bottom,As->middle; discard=9c",8.113370496093749,0.2330082243076144,7.8736769765625,0.6439796425661524,6.375039100646973,8.805925369262695,8.727298736572266,-3.3228325843811035,False,False,False,False,False
818,fired_teacher,11,12,"Ad->middle,As->bottom; discard=9c",8.027633927734374,0.23347075132967932,7.907263234375,0.6354185068908659,6.191851615905762,7.949028491973877,7.792877674102783,-3.1255240440368652,False,False,False,False,False
818,fired_teacher,12,4,"Ad->middle,9c->bottom; discard=As",7.910221017578125,0.2333903029402781,7.0687187265624996,0.6512306805491154,6.457448959350586,7.664147853851318,7.437736988067627,-3.600731372833252,False,False,False,False,False
818,fired_teacher,13,22,"9c->bottom,As->middle; discard=Ad",7.872723827148437,0.23377244381972825,6.9749687265624996,0.6497170204820191,6.044839859008789,7.816233158111572,7.679831027984619,-3.745699882507324,False,False,False,False,False
818,fired_teacher,14,6,"Ad->bottom,9c->middle; discard=As",7.705678,0.23613718932358027,7.717464437499999,0.6552924339154147,7.501336097717285,9.501348495483398,9.273454666137695,-2.6664042472839355,False,False,False,False,False
818,fired_teacher,15,13,"Ad->bottom,As->top; discard=9c",7.682163447265625,0.23528666862167297,7.835838796875,0.6461780768424211,6.739150047302246,8.473409652709961,8.155433654785156,-3.2478291988372803,False,False,False,False,False
818,fired_teacher,16,9,"Ad->top,As->bottom; discard=9c",7.665265169921875,0.2355298527574719,7.865901937499999,0.6370430019448662,6.611830711364746,8.174924850463867,7.9473748207092285,-3.0806078910827637,False,False,False,False,False
818,fired_teacher,17,5,"Ad->bottom,9c->top; discard=As",7.618931025390625,0.2379860391453587,7.804588796875,0.6554718947601029,6.5420379638671875,8.731081008911133,8.453121185302734,-3.0471503734588623,False,False,False,False,False
818,fired_teacher,18,17,"9c->top,As->bottom; discard=Ad",7.558240475585937,0.2382885835123088,7.6479556640625,0.6544130075952745,6.580502510070801,8.410634994506836,8.148231506347656,-2.9948809146881104,False,False,False,False,False
818,fired_teacher,19,20,"9c->middle,As->bottom; discard=Ad",7.476261799804687,0.23746498156299753,7.197587515625,0.6608549102581956,7.295332908630371,9.129936218261719,8.939002990722656,-2.5164554119110107,False,False,False,False,False
818,fired_teacher,20,1,"Ad->top,9c->bottom; discard=As",7.411099666015625,0.23573458903257166,6.7152780234375,0.6458781811253738,6.337010383605957,7.404598712921143,7.155924320220947,-4.187633991241455,False,False,False,False,False
818,fired_teacher,21,21,"9c->bottom,As->top; discard=Ad",7.359643250976562,0.23559057757405388,6.7855905234375,0.6510998169165073,6.270723342895508,7.576817035675049,7.308703899383545,-3.9790244102478027,False,False,False,False,False
818,fired_teacher,22,11,"Ad->middle,As->middle; discard=9c",-1.073829421875,0.2580828837318472,-1.2009215390625,0.739740127106122,0.2888469696044922,4.0866265296936035,4.236260890960693,-6.526152610778809,True,False,False,False,False
818,fired_teacher,23,7,"Ad->bottom,9c->bottom; discard=As",-10.245100166992188,0.14389834143085398,-10.4633197421875,0.41012707332786386,-10.566831588745117,-10.029001235961914,-10.144637107849121,-19.585304260253906,False,False,False,False,False
